Wall time,Step,Value
1742415967.333358,0,26.0
1742415970.951977,50,19.559999465942383
1742415974.803494,100,20.520000457763672
1742415977.933006,150,19.100000381469727
1742415981.5159822,200,19.700000762939453
1742415985.501042,250,18.8799991607666
1742415989.335636,300,20.0
1742415992.692259,350,20.760000228881836
1742415996.762581,400,21.059999465942383
1742416001.082919,450,20.139999389648438
1742416005.3099022,500,20.100000381469727
1742416011.204661,550,20.139999389648438
1742416014.787421,600,19.920000076293945
1742416020.1160781,650,20.8799991607666
1742416024.1434581,700,23.600000381469727
1742416028.885947,750,25.31999969482422
1742416033.026529,800,22.860000610351562
1742416036.720427,850,28.559999465942383
1742416040.221024,900,23.239999771118164
1742416046.6153548,950,29.920000076293945
1742416051.8865762,1000,29.559999465942383
1742416056.146406,1050,29.139999389648438
1742416061.035564,1100,29.780000686645508
1742416066.313799,1150,37.900001525878906
1742416072.702003,1200,42.599998474121094
1742416079.372454,1250,49.36000061035156
1742416083.976053,1300,44.13999938964844
1742416092.66329,1350,43.560001373291016
1742416099.800709,1400,51.79999923706055
1742416104.801813,1450,59.060001373291016
1742416111.996199,1500,66.0199966430664
1742416120.172626,1550,67.72000122070312
1742416127.920056,1600,74.44000244140625
1742416136.321315,1650,73.63999938964844
1742416150.830601,1700,127.31999969482422
1742416157.789175,1750,146.5
1742416168.422246,1800,166.52000427246094
1742416180.638585,1850,194.67999267578125
1742416190.516586,1900,205.67999267578125
1742416202.626362,1950,239.74000549316406
1742416213.9705,2000,537.3200073242188
1742416228.5559921,2050,1084.8800048828125
1742416290.404799,2100,342.44000244140625
1742416314.115011,2150,535.6599731445312
1742416346.220104,2200,629.3200073242188
1742416357.085939,2250,258.0400085449219
1742416387.206511,2300,378.5199890136719
1742416417.751185,2350,420.44000244140625
1742416429.895169,2400,352.7799987792969
1742416441.7766678,2450,232.02000427246094
1742416459.228086,2500,357.1400146484375
1742416473.410814,2550,232.25999450683594
1742416488.5708401,2600,353.9200134277344
1742416499.220268,2650,412.4800109863281
1742416514.9262002,2700,286.70001220703125
1742416534.135179,2750,652.3800048828125
1742416563.2044768,2800,362.0
1742416573.5228539,2850,274.8999938964844
1742416613.8763268,2900,681.8599853515625
1742416638.197292,2950,335.0
