Wall time,Step,Value
1742415967.333915,0,26.0
1742415970.9521549,50,33.0
1742415974.8036768,100,32.0
1742415977.9331388,150,34.0
1742415981.516067,200,40.0
1742415985.50115,250,26.0
1742415989.335735,300,35.0
1742415992.692359,350,41.0
1742415996.762694,400,47.0
1742416001.083081,450,36.0
1742416005.3100429,500,31.0
1742416011.204768,550,41.0
1742416014.7875211,600,31.0
1742416020.1161878,650,54.0
1742416024.1435509,700,54.0
1742416028.886047,750,67.0
1742416033.026624,800,48.0
1742416036.720526,850,56.0
1742416040.221118,900,44.0
1742416046.615459,950,74.0
1742416051.8867068,1000,70.0
1742416056.146522,1050,54.0
1742416061.035648,1100,87.0
1742416066.313911,1150,100.0
1742416072.70209,1200,104.0
1742416079.372546,1250,165.0
1742416083.976158,1300,146.0
1742416092.663384,1350,117.0
1742416099.800801,1400,158.0
1742416104.8019211,1450,138.0
1742416111.9963148,1500,183.0
1742416120.172734,1550,300.0
1742416127.9201741,1600,283.0
1742416136.321412,1650,304.0
1742416150.8307168,1700,863.0
1742416157.7892742,1750,1220.0
1742416168.4223502,1800,1061.0
1742416180.638698,1850,785.0
1742416190.5166929,1900,1167.0
1742416202.6264389,1950,661.0
1742416213.9706209,2000,6816.0
1742416228.5560992,2050,9418.0
1742416290.404854,2100,2088.0
1742416314.115082,2150,3814.0
1742416346.220203,2200,2332.0
1742416357.0860102,2250,1443.0
1742416387.206634,2300,1546.0
1742416417.751338,2350,2091.0
1742416429.895255,2400,1662.0
1742416441.776762,2450,1137.0
1742416459.228235,2500,2173.0
1742416473.4109418,2550,536.0
1742416488.570912,2600,1931.0
1742416499.220342,2650,4165.0
1742416514.926354,2700,912.0
1742416534.135314,2750,3014.0
1742416563.2046201,2800,1406.0
1742416573.522948,2850,1171.0
1742416613.876399,2900,4860.0
1742416638.1974301,2950,1228.0
