Wall time,Step,Value
1742418010.327557,0,23.0
1742418014.097276,50,30.0
1742418017.614113,100,28.0
1742418021.780873,150,27.0
1742418025.6005812,200,32.0
1742418029.1019762,250,38.0
1742418033.638664,300,34.0
1742418036.5032902,350,37.0
1742418039.76064,400,37.0
1742418043.8251688,450,43.0
1742418047.187136,500,54.0
1742418052.016459,550,42.0
1742418057.2960691,600,58.0
1742418063.048515,650,42.0
1742418066.357143,700,48.0
1742418071.884765,750,50.0
1742418074.805131,800,72.0
1742418080.3587892,850,54.0
1742418086.8715909,900,88.0
1742418091.4836,950,66.0
1742418094.968658,1000,53.0
1742418100.159809,1050,48.0
1742418105.466482,1100,70.0
1742418110.989686,1150,89.0
1742418117.124811,1200,86.0
1742418123.618391,1250,101.0
1742418128.883722,1300,92.0
1742418133.848855,1350,82.0
1742418140.048822,1400,116.0
1742418146.91268,1450,133.0
1742418151.7235892,1500,209.0
1742418158.728402,1550,154.0
1742418166.009658,1600,353.0
1742418175.298806,1650,282.0
1742418183.222966,1700,366.0
1742418200.871425,1750,614.0
1742418206.53371,1800,714.0
1742418214.622968,1850,985.0
1742418237.1442702,1900,1193.0
1742418246.839941,1950,1253.0
1742418255.244983,2000,793.0
1742418263.308151,2050,431.0
1742418271.735264,2100,805.0
1742418280.493333,2150,1863.0
1742418288.7968152,2200,723.0
1742418304.689306,2250,470.0
1742418314.365516,2300,3050.0
1742418322.2316952,2350,64.0
1742418329.450115,2400,58.0
1742418337.2087822,2450,63.0
1742418344.405857,2500,76.0
1742418351.3830872,2550,73.0
1742418358.25744,2600,71.0
1742418364.976266,2650,85.0
1742418371.536919,2700,82.0
1742418378.376498,2750,74.0
1742418384.9041128,2800,58.0
1742418391.3556511,2850,88.0
1742418398.102268,2900,99.0
1742418404.952984,2950,48.0
