Wall time,Step,Value
1742418010.327476,0,23.0
1742418014.0972521,50,12.0
1742418017.6141,100,11.0
1742418021.780849,150,14.0
1742418025.600565,200,13.0
1742418029.101963,250,13.0
1742418033.6386418,300,13.0
1742418036.503274,350,12.0
1742418039.760625,400,10.0
1742418043.8251488,450,12.0
1742418047.187121,500,12.0
1742418052.016438,550,14.0
1742418057.296055,600,13.0
1742418063.048495,650,10.0
1742418066.3571231,700,10.0
1742418071.8847492,750,13.0
1742418074.805084,800,10.0
1742418080.3587682,850,16.0
1742418086.871574,900,15.0
1742418091.4835782,950,17.0
1742418094.9686441,1000,15.0
1742418100.1597881,1050,12.0
1742418105.4664588,1100,10.0
1742418110.9896672,1150,13.0
1742418117.1248,1200,15.0
1742418123.618376,1250,18.0
1742418128.8836842,1300,12.0
1742418133.848835,1350,16.0
1742418140.0488021,1400,13.0
1742418146.912659,1450,24.0
1742418151.7235682,1500,13.0
1742418158.728381,1550,14.0
1742418166.009635,1600,12.0
1742418175.298789,1650,21.0
1742418183.222945,1700,30.0
1742418200.871412,1750,27.0
1742418206.533698,1800,14.0
1742418214.622946,1850,15.0
1742418237.1442292,1900,28.0
1742418246.839913,1950,29.0
1742418255.244962,2000,33.0
1742418263.3081238,2050,34.0
1742418271.73524,2100,33.0
1742418280.493314,2150,33.0
1742418288.796791,2200,33.0
1742418304.689286,2250,33.0
1742418314.365488,2300,31.0
1742418322.2316742,2350,33.0
1742418329.450104,2400,29.0
1742418337.208761,2450,30.0
1742418344.4058409,2500,27.0
1742418351.383065,2550,27.0
1742418358.257419,2600,27.0
1742418364.976236,2650,25.0
1742418371.5368981,2700,26.0
1742418378.3764858,2750,23.0
1742418384.904093,2800,21.0
1742418391.355634,2850,23.0
1742418398.102247,2900,22.0
1742418404.952968,2950,21.0
